277,"설비차","치유의숲 설약산","전통차","구수","X","건강",\N,"https://smartstore.naver.com/seolyaksan/products/4081102196","1000","24","2021-11-14 21:16:36","2021-11-14 21:16:36"
278,"보이차","치유의숲 설약산","전통차","구수","X","건강",\N,"https://smartstore.naver.com/seolyaksan/products/4081116473","1000","25","2021-11-14 21:16:36","2021-11-14 21:16:36"
279,"스위트 히비스커스","우리오늘달달해","허브차,꽃차","허브,꽃","X","다이어트및피부",\N,"https://smartstore.naver.com/moonmoonsun/products/4741846509","1667","23","2021-11-14 21:16:36","2021-11-14 21:16:36"
280,"스위트 캐모마일","우리오늘달달해","꽃차,허브차","허브,꽃","X","안정 및 숙면",\N,"https://smartstore.naver.com/moonmoonsun/products/4741868023","1667","22","2021-11-14 21:16:36","2021-11-14 21:16:36"
281,"스위트 카카오닙스","우리오늘달달해","홍차","달콤,구수","O","기분전환,에너지",\N,"https://smartstore.naver.com/moonmoonsun/products/4741877010","1667","25","2021-11-14 21:16:36","2021-11-14 21:16:36"
282,"스위트 멜론우롱","우리오늘달달해","녹차, 과일차","달콤, 과일","O","다이어트및피부,소화",\N,"https://smartstore.naver.com/moonmoonsun/products/4757320526","1667","25","2021-11-14 21:16:36","2021-11-14 21:16:36"
283,"스위트 자몽캔디","우리오늘달달해","홍차, 과일차","달콤, 과일","O","에너지",\N,"https://smartstore.naver.com/moonmoonsun/products/4757320526","1667","22","2021-11-14 21:16:36","2021-11-14 21:16:36"
284,"스위트 체리 캔디","우리오늘달달해","홍차, 과일차","달콤, 과일","O","에너지",\N,"https://smartstore.naver.com/moonmoonsun/products/4757320526","1667","27","2021-11-14 21:16:36","2021-11-14 21:16:36"
285,"포근데이","루나틱","허브차","꽃,과일, 허브","X","건강,기분전환",\N,"https://www.lunatic.kr/shop_view/?idx=1","1245","26","2021-11-14 21:16:36","2021-11-14 21:16:36"
286,"포근나잇","루나틱","블랜딩티","구수, 매운/민트","O","안정 및 숙면",\N,"https://www.lunatic.kr/shop_view/?idx=2","1245","27","2021-11-14 21:16:36","2021-11-14 21:16:36"
287,"홍차아람","보향다원","홍차","구수","O","기분전환",\N,"https://bohyang.com/front/php/product.php?product_no=67&NaPm=ct%3Dkvzko84x%7Cci%3Dcheckout%7Ctr%3Dppc%7Ctrx%3D%7Chk%3Dc6ee71298b3f41a291a571300f26f2a61bea5fea","1300","26","2021-11-14 21:16:36","2021-11-14 21:16:36"
288,"흑미&뚱딴지","보향다원","녹차","구수","O","건강",\N,"https://bohyang.com/front/php/product.php?product_no=67&NaPm=ct%3Dkvzko84x%7Cci%3Dcheckout%7Ctr%3Dppc%7Ctrx%3D%7Chk%3Dc6ee71298b3f41a291a571300f26f2a61bea5fea","1300","24","2021-11-14 21:16:36","2021-11-14 21:16:36"
289,"레몬그라스&진저","보향다원","녹차","구수,매운/민트","O","건강,  추운날",\N,"https://bohyang.com/front/php/product.php?product_no=67&NaPm=ct%3Dkvzko84x%7Cci%3Dcheckout%7Ctr%3Dppc%7Ctrx%3D%7Chk%3Dc6ee71298b3f41a291a571300f26f2a61bea5fea","1300","26","2021-11-14 21:16:36","2021-11-14 21:16:36"
290,"마테&레몬그라스","보향다원","홍차,허브차","구수, 허브, 매운/민트","O","건강",\N,"https://bohyang.com/front/php/product.php?product_no=67&NaPm=ct%3Dkvzko84x%7Cci%3Dcheckout%7Ctr%3Dppc%7Ctrx%3D%7Chk%3Dc6ee71298b3f41a291a571300f26f2a61bea5fea","1300","27","2021-11-14 21:16:36","2021-11-14 21:16:36"
291,"캐모마일&도라지","보향다원","홍차,전통차, 허브차","구수,꽃","O","건강",\N,"https://bohyang.com/front/php/product.php?product_no=67&NaPm=ct%3Dkvzko84x%7Cci%3Dcheckout%7Ctr%3Dppc%7Ctrx%3D%7Chk%3Dc6ee71298b3f41a291a571300f26f2a61bea5fea","1300","25","2021-11-14 21:16:36","2021-11-14 21:16:36"
292,"로즈마리&쑥","보향다원","전통차, 허브차","구수,꽃","X","안정 및 숙면",\N,"https://bohyang.com/front/php/product.php?product_no=67&NaPm=ct%3Dkvzko84x%7Cci%3Dcheckout%7Ctr%3Dppc%7Ctrx%3D%7Chk%3Dc6ee71298b3f41a291a571300f26f2a61bea5fea","1300","27","2021-11-14 21:16:36","2021-11-14 21:16:36"
293,"페퍼민트&레몬그라스","보향다원","허브차","허브, 매운/민트","X","안정 및 숙면",\N,"https://bohyang.com/front/php/product.php?product_no=67&NaPm=ct%3Dkvzko84x%7Cci%3Dcheckout%7Ctr%3Dppc%7Ctrx%3D%7Chk%3Dc6ee71298b3f41a291a571300f26f2a61bea5fea","1300","25","2021-11-14 21:16:36","2021-11-14 21:16:36"
294,"내츄럴 루이보스","위아루이","허브차","구수, 허브","X","다이어트및피부관리",\N,"https://www.rooi.co.kr/product/natural15","1000","24","2021-11-14 21:16:36","2021-11-14 21:16:36"
